! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
   974    966.630    34.377
   975    967.030    34.407
   976    967.431    34.436
   977    967.832    34.465
   978    968.233    34.495
   979    968.635    34.524
   980    969.037    34.554
   981    969.439    34.583
   982    969.842    34.613
   983    970.245    34.642
   984    970.648    34.672
   985    971.052    34.701
   986    971.456    34.731
   987    971.860    34.760
   988    972.265    34.790
   989    972.670    34.820
   990    973.075    34.849
   991    973.481    34.880
   992    973.887    34.909
   993    974.294    34.939
   994    974.631    34.964
   995    975.039    34.994
   996    975.446    35.024
   997    975.854    35.054
   998    976.262    35.084
   999    976.670    35.114
  1000    977.079    35.144
  1001    977.488    35.174
  1002    977.898    35.204
  1003    978.308    35.234
  1004    978.718    35.265
  1005    979.128    35.295
  1006    979.539    35.326
  1007    979.950    35.356
  1008    980.362    35.387
  1009    980.774    35.417
  1010    981.186    35.447
  1011    981.599    35.478
  1012    982.011    35.508
  1013    982.425    35.539
  1014    982.838    35.569
  1015    983.252    35.600
  1016    983.667    35.631
  1017    984.081    35.661
  1018    984.496    35.692
  1019    984.912    35.723
  1020    985.327    35.754
  1021    985.743    35.784
  1022    986.160    35.816
  1023    986.576    35.846
  1024    986.993    35.877
  1025    987.411    35.908
  1026    987.829    35.939
  1027    988.247    35.970
  1028    988.665    36.001
  1029    989.084    36.032
  1030    989.503    36.063
  1031    989.923    36.094
  1032    990.343    36.126
  1033    990.763    36.157
  1034    991.183    36.188
  1035    991.604    36.219
  1036    992.026    36.251
  1037    992.447    36.282
  1038    992.869    36.314
  1039    993.292    36.345
  1040    993.714    36.376
  1041    994.137    36.408
  1042    994.561    36.440
  1043    994.984    36.471
  1044    995.409    36.503
  1045    995.833    36.534
  1046    996.258    36.566
  1047    996.683    36.598
  1048    997.109    36.630
  1049    997.535    36.662
  1050    997.961    36.693
  1051    998.387    36.725
  1052    998.814    36.757
  1053    999.242    36.788
  1054    999.670    36.821
  1055   1000.098    36.852
  1056   1000.526    36.885
  1057   1000.955    36.917
  1058   1001.384    36.949
  1059   1001.813    36.981
  1060   1002.243    37.012
  1061   1002.674    37.045
  1062   1003.104    37.077
  1063   1003.535    37.110
  1064   1003.966    37.142
  1065   1004.398    37.174
